store_id,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m
0,-44479.0,46663.0,8273.0,5672.0,67519.0,13777.0,5591.0
55,-37692.0,22365.0,8407.0,13249.0,30528.0,715.0,3789.0
259,-75975.0,76921.0,9732.0,4661.0,48639.0,12409.0,17192.0
226,-74867.0,35722.0,8937.0,1323.0,24502.0,6631.0,33046.0
104,-57134.0,30775.0,1247.0,4119.0,8557.0,11283.0,48185.0
105,-8264.0,94546.0,13919.0,14153.0,60060.0,16102.0,78765.0
148,-116886.0,99410.0,1016.0,1847.0,70162.0,15329.0,31788.0
337,-64461.0,5772.0,12979.0,3301.0,31255.0,4336.0,102232.0
157,-68160.0,101128.0,11735.0,8282.0,58951.0,14751.0,92606.0
280,-33433.0,613.0,11118.0,8337.0,3073.0,13499.0,38187.0
290,-35608.0,76475.0,8622.0,7074.0,3448.0,12309.0,119454.0
74,-107243.0,19873.0,3598.0,11690.0,11524.0,4999.0,111930.0
262,-8822.0,53077.0,7062.0,14622.0,85468.0,16119.0,13498.0
2,-54501.0,50096.0,4699.0,9427.0,75421.0,11597.0,15708.0
229,-44756.0,57557.0,7005.0,13882.0,49518.0,643.0,17102.0
335,-85646.0,70563.0,10533.0,4200.0,22281.0,10095.0,52510.0
343,-69296.0,91540.0,10116.0,10036.0,15912.0,4475.0,113743.0
162,-83175.0,82683.0,9437.0,1767.0,56361.0,11780.0,27871.0
233,-20251.0,93754.0,927.0,5322.0,16537.0,3214.0,50826.0
67,-47787.0,81633.0,9429.0,13556.0,73847.0,1572.0,18048.0
299,-24846.0,71804.0,1145.0,7341.0,39669.0,9244.0,71630.0
,-110283.0,72042.0,13194.0,14369.0,25586.0,2882.0,35256.0
324,-121753.0,39553.0,5505.0,4968.0,41209.0,9250.0,52349.0
315,-39778.0,73959.0,11304.0,9933.0,53187.0,14210.0,16896.0
350,-79259.0,30530.0,541.0,8442.0,44687.0,8640.0,55066.0
,-28425.0,89044.0,13544.0,1474.0,34204.0,10471.0,11618.0
235,-65334.0,58753.0,11133.0,11902.0,9565.0,11411.0,11976.0
143,-56236.0,90022.0,11941.0,7401.0,64682.0,14300.0,25963.0
284,-27775.0,19619.0,10601.0,4027.0,58982.0,9697.0,38376.0
69,-69739.0,18598.0,4141.0,7667.0,22720.0,14786.0,90090.0
271,-44740.0,55624.0,8094.0,7863.0,11897.0,2093.0,97913.0
106,-4829.0,27521.0,7867.0,7477.0,45434.0,6495.0,20749.0
3,-100336.0,8615.0,13197.0,14518.0,47400.0,16564.0,57068.0
4,-118065.0,4040.0,7638.0,15296.0,74577.0,7302.0,37220.0
118,-118464.0,84200.0,4296.0,2616.0,84321.0,11881.0,61496.0
5,-25478.0,96050.0,1252.0,2619.0,2638.0,7195.0,85328.0
167,-95417.0,45714.0,1405.0,15116.0,6365.0,10389.0,82890.0
125,-48815.0,56919.0,8491.0,9127.0,10018.0,14740.0,60786.0
209,-67391.0,80395.0,2274.0,15417.0,66967.0,7648.0,104977.0
138,-111819.0,66937.0,5637.0,11104.0,38461.0,6824.0,27624.0
270,-80878.0,13103.0,1396.0,4152.0,17492.0,3298.0,94738.0
6,-118201.0,72361.0,39.0,6492.0,11766.0,6961.0,22304.0
121,-9392.0,7335.0,6622.0,14391.0,27049.0,11922.0,51956.0
7,-82211.0,95125.0,13379.0,10195.0,11706.0,9624.0,67718.0
264,-72556.0,22272.0,8477.0,12135.0,65982.0,8287.0,59568.0
170,-8623.0,78585.0,11445.0,8183.0,17493.0,2301.0,55574.0
172,-88080.0,69337.0,1703.0,14814.0,83422.0,12007.0,55073.0
146,-5807.0,43748.0,12468.0,2801.0,42948.0,7083.0,38903.0
247,-81965.0,86671.0,450.0,14091.0,49202.0,15383.0,82596.0
232,-59107.0,75609.0,3118.0,8442.0,17535.0,7814.0,121756.0
194,-96860.0,83582.0,2520.0,5434.0,25711.0,11597.0,95531.0
206,-92556.0,89472.0,11827.0,9962.0,67920.0,3248.0,89563.0
186,-31191.0,51045.0,336.0,9764.0,32047.0,9004.0,56184.0
234,-46389.0,12150.0,3565.0,3199.0,51491.0,14278.0,19760.0
203,-57649.0,32435.0,743.0,13966.0,40081.0,3561.0,116101.0
279,-112845.0,1871.0,7837.0,6280.0,19764.0,1186.0,115271.0
313,-86727.0,48273.0,5906.0,8099.0,4916.0,3774.0,110709.0
334,-111147.0,42875.0,3508.0,3640.0,24893.0,16497.0,39521.0
212,-78509.0,53744.0,7111.0,11838.0,6756.0,8765.0,56641.0
8,-34856.0,72087.0,1632.0,4936.0,65873.0,14282.0,23662.0
81,-3320.0,62061.0,7784.0,4913.0,76503.0,2817.0,44539.0
9,-40436.0,92613.0,10303.0,1811.0,40041.0,2792.0,91787.0
244,-79548.0,84773.0,4780.0,11421.0,13753.0,2045.0,35442.0
10,-78637.0,75368.0,5429.0,8007.0,14100.0,3364.0,121980.0
84,-44978.0,16636.0,10851.0,12058.0,80380.0,13713.0,118855.0
239,-14239.0,68027.0,1302.0,12346.0,48427.0,7169.0,97925.0
132,-17738.0,86120.0,13986.0,6287.0,20442.0,2036.0,92048.0
306,-9429.0,49991.0,10758.0,14861.0,80055.0,6609.0,67723.0
11,-121282.0,38318.0,8653.0,11969.0,24452.0,5622.0,113506.0
302,-61269.0,40668.0,8100.0,15075.0,85731.0,9967.0,49191.0
168,-26096.0,57696.0,1267.0,11135.0,69327.0,2313.0,106303.0
197,-53279.0,21136.0,11862.0,13387.0,80988.0,5367.0,44646.0
221,-6001.0,41212.0,2309.0,8974.0,68158.0,6305.0,6580.0
12,-14614.0,28020.0,3241.0,12999.0,7669.0,16385.0,7804.0
210,-40267.0,72296.0,6607.0,8832.0,76985.0,9465.0,106979.0
139,-39178.0,64379.0,7836.0,3092.0,22005.0,5128.0,91861.0
88,-99863.0,99775.0,4587.0,8012.0,73194.0,3553.0,112796.0
13,-106226.0,93894.0,7385.0,11171.0,29670.0,10183.0,49624.0
305,-103106.0,64405.0,9696.0,7173.0,59428.0,1361.0,90666.0
26,-23341.0,81459.0,221.0,9681.0,31450.0,11119.0,60356.0
286,-2684.0,37734.0,3239.0,13136.0,57311.0,337.0,46925.0
308,-102817.0,79530.0,10499.0,8193.0,71511.0,5342.0,100084.0
,-99356.0,70702.0,8224.0,10957.0,16568.0,4494.0,5554.0
14,-122161.0,5889.0,243.0,5839.0,37676.0,14862.0,67884.0
122,-65670.0,3412.0,1216.0,11689.0,78424.0,4614.0,6650.0
113,-61829.0,85024.0,13945.0,3074.0,41473.0,9548.0,56001.0
255,-4454.0,37917.0,13784.0,4698.0,72506.0,3200.0,59141.0
159,-7692.0,50981.0,8536.0,4218.0,48267.0,14791.0,111153.0
134,-26426.0,5380.0,10102.0,6134.0,39278.0,7320.0,34465.0
161,-89229.0,44092.0,8367.0,1974.0,85803.0,14998.0,27610.0
,-62068.0,47343.0,6054.0,3032.0,28502.0,6230.0,103271.0
111,-81214.0,51868.0,4107.0,15214.0,82953.0,5583.0,36663.0
133,-45493.0,39543.0,5127.0,5076.0,46432.0,13877.0,25430.0
223,-34159.0,36875.0,7366.0,9105.0,59029.0,16453.0,120597.0
95,-63469.0,76331.0,7684.0,5303.0,50338.0,14884.0,54268.0
250,-39367.0,86170.0,9819.0,13323.0,35825.0,16507.0,116396.0
291,-24453.0,19905.0,5954.0,12004.0,5911.0,11501.0,99189.0
80,-58348.0,43596.0,799.0,8995.0,60884.0,3313.0,51404.0
191,-64986.0,22036.0,1893.0,3832.0,73740.0,14863.0,113338.0
,-76198.0,52637.0,4998.0,2574.0,37111.0,2214.0,38765.0
,-59364.0,66970.0,3043.0,7184.0,7894.0,4690.0,61998.0
141,-64462.0,78179.0,9900.0,2223.0,23205.0,10856.0,118594.0
15,-25700.0,33283.0,7086.0,12471.0,7085.0,9799.0,23362.0
293,-65386.0,12250.0,6042.0,8496.0,46399.0,595.0,1106.0
128,-18870.0,39253.0,11882.0,9736.0,59087.0,2300.0,88764.0
90,-34511.0,21488.0,7696.0,1621.0,76984.0,11595.0,5791.0
323,-10517.0,93025.0,11590.0,14367.0,36649.0,1637.0,792.0
17,-19461.0,66926.0,8227.0,12824.0,24651.0,8040.0,115236.0
174,-24676.0,63601.0,12907.0,2467.0,1693.0,8641.0,120075.0
76,-36165.0,58611.0,645.0,5595.0,22659.0,954.0,3864.0
120,-90660.0,35715.0,1271.0,1456.0,36548.0,3864.0,10767.0
219,-78453.0,55466.0,937.0,11662.0,82691.0,14599.0,120708.0
115,-53686.0,52162.0,9997.0,12612.0,34308.0,11483.0,69235.0
19,-103242.0,77745.0,3261.0,14493.0,82871.0,900.0,92688.0
312,-48640.0,28090.0,9430.0,4391.0,4944.0,12284.0,69903.0
242,-97870.0,46053.0,5217.0,7465.0,53756.0,12574.0,87361.0
179,-115394.0,53388.0,157.0,7423.0,48164.0,1505.0,104295.0
276,-76145.0,8439.0,13388.0,8170.0,17111.0,5063.0,103052.0
178,-61442.0,67844.0,12347.0,14054.0,70361.0,15636.0,53051.0
20,-106904.0,50283.0,2030.0,4820.0,23271.0,1886.0,94757.0
79,-9910.0,19730.0,12032.0,7179.0,46738.0,8317.0,13634.0
165,-7108.0,18405.0,3186.0,13729.0,17351.0,1301.0,37604.0
124,-97635.0,42237.0,4437.0,13586.0,43842.0,7270.0,61115.0
199,-56112.0,35800.0,7165.0,7228.0,9479.0,7343.0,40827.0
110,-62268.0,9202.0,5058.0,9467.0,77785.0,9464.0,36903.0
269,-19917.0,17161.0,11118.0,2519.0,17262.0,1670.0,103319.0
253,-26096.0,16125.0,3993.0,10683.0,1378.0,7158.0,115367.0
318,-34990.0,100800.0,12919.0,2423.0,80623.0,9196.0,46979.0
21,-108345.0,48213.0,5405.0,1301.0,36317.0,6597.0,20934.0
213,-32799.0,85105.0,13513.0,8268.0,7410.0,10262.0,102248.0
322,-72361.0,47305.0,7769.0,2655.0,29356.0,6329.0,46050.0
126,-14371.0,93036.0,12590.0,14387.0,36008.0,15218.0,25206.0
227,-22912.0,38314.0,1368.0,5811.0,43262.0,14419.0,76423.0
281,-42525.0,65630.0,9829.0,11097.0,12822.0,14676.0,36761.0
102,-117320.0,91263.0,3054.0,10820.0,54539.0,2283.0,111675.0
77,-22631.0,47254.0,5180.0,8055.0,27015.0,1019.0,10525.0
93,-17840.0,80735.0,11410.0,15193.0,77819.0,6240.0,114670.0
314,-109314.0,50943.0,10315.0,12651.0,12533.0,6782.0,83519.0
,-114124.0,63362.0,434.0,4755.0,70800.0,14912.0,64250.0
22,-63566.0,64655.0,2980.0,5471.0,13862.0,1173.0,107653.0
82,-101833.0,18610.0,2881.0,1626.0,36544.0,14796.0,60191.0
23,-6597.0,35604.0,11471.0,3778.0,67381.0,15289.0,5132.0
347,-72757.0,12075.0,13732.0,10369.0,35181.0,15054.0,65393.0
332,-70753.0,98590.0,11454.0,2138.0,79992.0,14296.0,20723.0
352,-103037.0,30196.0,11153.0,10138.0,83584.0,12613.0,47764.0
24,-66678.0,85021.0,204.0,6296.0,32866.0,10171.0,5907.0
338,-112830.0,5373.0,3437.0,10869.0,16050.0,8109.0,55349.0
85,-17614.0,19750.0,9417.0,5551.0,42568.0,9566.0,57236.0
25,-72547.0,65050.0,12028.0,12410.0,72036.0,15327.0,45208.0
326,-123228.0,38698.0,10567.0,1909.0,14464.0,16486.0,73847.0
173,-71748.0,21903.0,12547.0,7672.0,84763.0,13728.0,43248.0
96,-65866.0,42997.0,4358.0,4609.0,42074.0,4821.0,60444.0
70,-58074.0,30298.0,1199.0,11296.0,56762.0,9873.0,80262.0
147,-86227.0,72701.0,13072.0,13376.0,67272.0,6163.0,104842.0
336,-12378.0,100491.0,669.0,10298.0,37082.0,9989.0,71031.0
345,-112966.0,94452.0,1.0,11324.0,61942.0,8485.0,120840.0
175,-118559.0,88994.0,8644.0,12798.0,53615.0,4667.0,53022.0
311,-50987.0,60355.0,8739.0,15343.0,48056.0,11287.0,46251.0
27,-19457.0,5940.0,1842.0,14447.0,12849.0,5679.0,108831.0
268,-92342.0,72529.0,8731.0,8550.0,14362.0,1699.0,10754.0
112,-115991.0,5698.0,12578.0,12152.0,17931.0,4242.0,22232.0
153,-52379.0,77917.0,12196.0,9221.0,65355.0,14100.0,30639.0
267,-26902.0,34108.0,9319.0,14502.0,11492.0,6904.0,9573.0
114,-53788.0,82910.0,8754.0,3389.0,55045.0,15272.0,111651.0
325,-85988.0,22176.0,12557.0,10338.0,71781.0,9554.0,90375.0
192,-73460.0,62746.0,10608.0,5842.0,3890.0,8201.0,106634.0
292,-54681.0,41240.0,11833.0,8057.0,77970.0,16104.0,16388.0
116,-101918.0,23468.0,562.0,11733.0,79548.0,9046.0,51960.0
319,-79365.0,15457.0,8784.0,3008.0,80208.0,2773.0,21574.0
256,-84111.0,86013.0,12527.0,9411.0,76210.0,380.0,112633.0
29,-56004.0,42144.0,7630.0,6404.0,67910.0,2250.0,63378.0
107,-90163.0,73075.0,5182.0,5885.0,50305.0,6822.0,40076.0
30,-96508.0,31742.0,12270.0,6250.0,74682.0,6671.0,94195.0
97,-45661.0,22414.0,12352.0,7166.0,79446.0,13676.0,60822.0
156,-66762.0,24450.0,6648.0,8463.0,55067.0,14293.0,114292.0
181,-59931.0,35394.0,11780.0,3678.0,53594.0,4964.0,120926.0
328,-79662.0,47357.0,7811.0,4856.0,69252.0,8948.0,113078.0
140,-27342.0,86695.0,3220.0,8579.0,33039.0,12300.0,7922.0
238,-34186.0,37437.0,6277.0,13775.0,21851.0,13320.0,84172.0
204,-15120.0,50092.0,2746.0,6476.0,34521.0,13321.0,65634.0
340,-100128.0,30725.0,443.0,2845.0,33007.0,15329.0,5064.0
31,-18721.0,67186.0,4515.0,7419.0,50659.0,8426.0,707.0
86,-59609.0,80714.0,3101.0,7808.0,75846.0,16291.0,30810.0
330,-121591.0,95140.0,11895.0,13435.0,43671.0,14409.0,39752.0
32,-121602.0,45159.0,2216.0,6928.0,80041.0,2358.0,72823.0
,-88523.0,95357.0,4597.0,4083.0,36209.0,5554.0,43464.0
258,-99949.0,36143.0,5184.0,8543.0,56107.0,13502.0,90779.0
