external_mall_id,block_id,average_dwell_time,median_dwell_time
7,4853,515.9794941900205,300.0
32,11428,268.0845070422535,120.0
15,511,395.15073028757575,180.0
33,6872,350.8607302164216,120.0
19,7163,429.73800612453215,180.0
15,550,985.614201826143,540.0
33,6866,4000.3782761415832,3060.0
36,1155,305.8543046357616,240.0
7,4835,1434.8625070149483,840.0
15,500,703.7635514018691,420.0
26,6541,278.53465346534654,180.0
30,7369,1491.8240928476544,900.0
32,11489,408.7991573033708,240.0
15,473,3897.348091957582,2820.0
16,1673,302.57829599006226,180.0
25,6165,2481.5146745671695,1920.0
36,1154,212.78680164214498,120.0
10,4605,272.4203499224855,120.0
14,4995,561.2414628239283,120.0
18,11228,493.11845616916446,420.0
28,5704,379.0267630161939,240.0
30,7382,391.40972448836885,180.0
16,1772,326.6182093189362,180.0
23,5966,564.6823048652665,420.0
14,5227,1274.5501980260262,660.0
15,589,742.0616365568544,300.0
13,7589,238.3045237219566,180.0
17,4371,1183.1100130794944,120.0
19,7056,1146.386202343621,960.0
33,6768,1241.114705150535,840.0
17,4394,341.71113660166577,180.0
23,6122,251.16837889604736,180.0
26,6548,801.2475034567522,540.0
33,6961,2017.124537916919,1980.0
13,7619,2312.835890283589,2280.0
7,43,401.79349319100504,120.0
28,5695,1438.5594237695077,1020.0
28,5718,381.42870434503936,180.0
16,1803,509.5026300019975,180.0
30,7413,614.4671373629527,300.0
10,4498,526.2329820563942,240.0
22,6605,479.0013583914257,300.0
10,4501,1061.0333544147165,1080.0
18,11199,397.17145767816805,300.0
19,7228,2148.418497700562,2220.0
26,6568,881.851917183646,660.0
30,7371,1120.268505079826,660.0
17,4360,333.1248822753814,180.0
25,6193,478.75727629619604,120.0
14,4957,1643.7752924276626,1320.0
15,444,474.3445935831545,300.0
16,1833,1012.109775573674,300.0
19,7073,568.9709188483574,300.0
12,2945,426.533262373603,240.0
22,6638,290.9435478470502,120.0
16,1724,2221.4227695532554,540.0
32,11664,385.7732807408678,240.0
32,11576,189.23156981786644,120.0
17,4441,4606.144889357218,4620.0
7,11,306.15042751557894,180.0
7,2,1641.8298743057585,600.0
24,2273,1748.896551724138,360.0
28,5761,622.510170341612,240.0
30,7377,380.1957404560153,300.0
36,1252,212.2335205859347,120.0
19,7091,438.25615303860957,240.0
26,6415,434.6714321443843,300.0
36,1286,243.69906961822264,180.0
10,4557,526.0703066566941,240.0
33,6944,372.03335980937254,180.0
7,4919,2392.789480092536,2100.0
23,6043,1339.2857142857142,120.0
23,5905,1188.7757458111973,1020.0
12,2909,785.033019707166,240.0
28,5737,454.8995690599664,240.0
33,6887,543.9282732348797,240.0
12,2901,268.8380864765409,120.0
13,7538,2560.8976157082748,2220.0
13,7603,378.82839548590005,300.0
17,4344,1865.027027027027,750.0
26,6498,2487.5417719958073,2700.0
18,11145,405.03737704918035,360.0
7,4882,536.127744510978,180.0
12,2842,556.5153138924925,180.0
17,4266,451.3657343186461,240.0
17,4296,1109.2628356152957,540.0
17,4384,292.4856895056375,180.0
25,6345,789.0786708619592,540.0
