mall_name,mall_country,mall_id,total_mall_area
mall_0,Germany Third Parties,0,80523.0
mall_1,Germany,1,19564.0
mall_2,United Kingdom,2,44821.0
mall_3,Germany Third Parties,3,59990.0
mall_4,Spain,4,38176.0
mall_5,Poland,5,33220.0
mall_6,Netherlands,6,79912.0
mall_7,USA,7,30464.0
mall_8,United Kingdom,8,20851.0
mall_9,USA,9,33560.0
mall_10,Germany Third Parties,10,32843.0
mall_11,Germany Third Parties,11,61009.0
mall_12,France,12,91688.0
mall_13,France,13,53347.0
mall_14,Spain,14,64985.0
mall_15,Poland,15,95398.0
mall_16,USA,16,19730.0
mall_17,France,17,67453.0
mall_18,France,18,73645.0
mall_19,United Kingdom,19,25922.0
mall_20,Germany,20,20647.0
mall_21,Germany Third Parties,21,89725.0
mall_22,Denmark,22,20479.0
mall_23,Poland,23,31822.0
mall_24,France,24,75024.0
mall_25,USA,25,89020.0
mall_26,USA,26,78582.0
mall_27,Germany Third Parties,27,75646.0
mall_28,France,28,51813.0
mall_29,Germany Third Parties,29,88178.0
mall_30,USA,30,35513.0
mall_31,Sweden,31,88468.0
mall_32,Austria,32,57239.0
mall_33,France,33,71429.0
mall_34,USA,34,38671.0
mall_35,Spain,35,22156.0
mall_36,France Third Parties,36,69178.0
mall_37,Germany,37,70724.0
mall_38,USA,38,55759.0
mall_39,Sweden,39,51281.0
mall_40,Czech Republic,40,52680.0
mall_41,Germany,41,100295.0
mall_42,Spain,42,53542.0
mall_43,Germany Third Parties,43,27583.0
mall_44,Germany Third Parties,44,40626.0
mall_45,Germany Third Parties,45,89621.0
mall_46,France,46,105501.0
mall_47,France,47,29549.0
mall_48,Poland,48,100308.0
mall_49,France,49,97163.0
mall_50,Slovakia,50,71277.0
mall_51,Germany,51,64666.0
mall_52,Germany,52,51986.0
mall_53,France,53,33279.0
mall_54,Germany,54,66741.0
mall_55,France,55,63953.0
mall_56,Poland,56,65949.0
mall_57,Sweden,57,29864.0
mall_58,USA,58,104511.0
mall_59,USA,59,68370.0
mall_60,USA,60,102093.0
mall_61,USA,61,39766.0
mall_62,Czech Republic,62,40510.0
mall_63,France,63,29041.0
mall_64,USA,64,33321.0
mall_65,Germany Third Parties,65,22599.0
mall_66,Spain,66,86012.0
mall_67,Germany,67,84063.0
mall_68,France,68,74116.0
mall_69,USA,69,80564.0
mall_70,Spain,70,37762.0
mall_71,France,71,47963.0
mall_72,France,72,72778.0
mall_73,Netherlands,73,82128.0
mall_74,France,74,45124.0
mall_75,Netherlands,75,81531.0
mall_76,USA,76,40062.0
mall_77,Spain,77,95117.0
mall_78,France,78,69067.0
mall_79,USA,79,33733.0
mall_80,USA,80,41534.0
mall_81,Germany Third Parties,81,27721.0
mall_82,Czech Republic,82,92118.0
mall_83,Austria,83,75763.0
mall_84,France,84,41684.0
mall_85,Poland,85,76907.0
mall_86,Germany,86,35877.0
