store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,mall_name,mall_country,total_mall_area,block_id,external_mall_id,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,average_dwell_time,median_dwell_time
store_1,1,0,28/10/2010,,Services,Clothing-related services,Clothes repairs,1693316.0,663785.0,379.0,mall_0,Germany Third Parties,80523.0,7643.0,13.0,-77185.0,48683.0,3413.0,9256.0,18642.0,2582.0,117195.0,3048.89,284206.0,111.09,10355.68,27440,2557854,247,389.21246374656056,180.0
store_2,2,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,2954560.0,326322.0,162.0,mall_0,Germany Third Parties,80523.0,7569.0,13.0,-54501.0,50096.0,4699.0,9427.0,75421.0,11597.0,15708.0,5621.56,332009.67,204.01,12048.74,50594,2988087,248,504.8296523910121,240.0
store_3,3,0,28/10/2010,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",9706951.0,1189964.0,268.0,mall_0,Germany Third Parties,80523.0,7646.0,13.0,-100336.0,8615.0,13197.0,14518.0,47400.0,16564.0,57068.0,12013.67,330280.78,432.49,11890.11,108123,2972527,250,349.0922313483915,240.0
store_4,4,0,28/10/2010,,Services,Photo services,Photo Development,4217850.0,145534.0,33.0,mall_0,Germany Third Parties,80523.0,7672.0,13.0,-118065.0,4040.0,7638.0,15296.0,74577.0,7302.0,37220.0,4175.0,284250.33,152.74,10399.4,37575,2558253,246,345.27596862372235,240.0
store_5,5,0,23/10/1990,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1645623.0,503069.0,320.0,mall_0,Germany Third Parties,80523.0,7603.0,13.0,-25478.0,96050.0,1252.0,2619.0,2638.0,7195.0,85328.0,25665.44,294645.11,923.96,10607.22,230989,2651806,250,378.8283954859001,300.0
store_6,6,0,23/10/1990,,Services,Imaterial services,Medical Services,4819613.0,825681.0,153.0,mall_0,Germany Third Parties,80523.0,7605.0,13.0,-118201.0,72361.0,39.0,6492.0,11766.0,6961.0,22304.0,3974.0,294579.89,144.8,10733.68,35766,2651219,247,429.2228935110455,240.0
store_7,7,0,05/01/2000,,Food & Beverage Services,Fast Meal,American & Burgers,222364.0,345450.0,329.0,mall_0,Germany Third Parties,80523.0,7721.0,13.0,-82211.0,95125.0,13379.0,10195.0,11706.0,9624.0,67718.0,30091.22,195366.33,1083.28,7033.19,270821,1758297,250,1885.1069430733796,1380.0
store_8,8,0,01/02/2004,,Entertainment,Entertainment,Cinemas,3283064.0,1346742.0,68.0,mall_0,Germany Third Parties,80523.0,7782.0,13.0,-34856.0,72087.0,1632.0,4936.0,65873.0,14282.0,23662.0,23614.67,191575.33,850.13,6896.71,212532,1724178,250,4222.493120722501,3120.0
store_10,10,0,28/10/2010,,Health & Beauty,Hair & Body,Hairdressers,2992705.0,1249996.0,180.0,mall_0,Germany Third Parties,80523.0,7637.0,13.0,-78637.0,75368.0,5429.0,8007.0,14100.0,3364.0,121980.0,2175.11,349555.0,78.3,12583.98,19576,3145995,250,2428.013891903625,1560.0
store_14,14,0,01/09/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,5065882.0,818429.0,93.0,mall_0,Germany Third Parties,80523.0,7532.0,13.0,-122161.0,5889.0,243.0,5839.0,37676.0,14862.0,67884.0,31850.22,230146.0,1174.8,8488.99,286652,2071314,244,488.2380773886701,360.0
store_19,19,0,01/02/2009,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,4747128.0,463216.0,436.0,mall_0,Germany Third Parties,80523.0,7756.0,13.0,-103242.0,77745.0,3261.0,14493.0,82871.0,900.0,92688.0,20350.0,195365.11,732.6,7033.14,183150,1758286,250,2842.016904431823,2880.0
store_20,20,0,01/04/2010,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,8470516.0,1232343.0,107.0,mall_0,Germany Third Parties,80523.0,7695.0,13.0,-106904.0,50283.0,2030.0,4820.0,23271.0,1886.0,94757.0,2409.33,376871.78,87.08,13621.87,21684,3391846,249,462.16319129646416,240.0
store_21,21,0,01/07/1996,,Fashion apparel,Family Fashion,Family Fashion,8416184.0,120016.0,336.0,mall_0,Germany Third Parties,80523.0,7604.0,13.0,-108345.0,48213.0,5405.0,1301.0,36317.0,6597.0,20934.0,86402.0,294639.56,3122.96,10649.62,777618,2651756,249,809.202049328936,540.0
store_22,22,0,01/09/2004,,Health & Beauty,Hair & Body,Hairdressers,7051614.0,1285484.0,205.0,mall_0,Germany Third Parties,80523.0,7666.0,13.0,-63566.0,64655.0,2980.0,5471.0,13862.0,1173.0,107653.0,3696.44,770001.78,133.07,27720.06,33268,6930016,250,2183.499557018099,1680.0
store_24,24,0,28/10/2010,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,3035947.0,845702.0,349.0,mall_0,Germany Third Parties,80523.0,7638.0,13.0,-66678.0,85021.0,204.0,6296.0,32866.0,10171.0,5907.0,5732.33,284377.78,211.44,10489.34,51591,2559400,244,347.010782875008,180.0
store_27,27,0,23/10/1986,,Fashion apparel,Family Fashion,Family Fashion,5947005.0,1349641.0,351.0,mall_0,Germany Third Parties,80523.0,7717.0,13.0,-19457.0,5940.0,1842.0,14447.0,12849.0,5679.0,108831.0,92928.22,884219.56,3345.42,31831.9,836354,7957976,250,728.8760885931241,420.0
store_28,28,0,01/11/1999,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,786346.0,1074980.0,504.0,mall_0,Germany Third Parties,80523.0,7747.0,13.0,-18031.0,15397.0,6229.0,6509.0,2503.0,11235.0,32834.0,69583.33,600861.33,2505.0,21631.01,626250,5407752,250,2912.6349811142068,2220.0
store_29,29,0,01/05/1999,,Bags & Footwear & Accessories,Leath. Bags/Luggage,Luggage,9388296.0,1183996.0,314.0,mall_0,Germany Third Parties,80523.0,7618.0,13.0,-56004.0,42144.0,7630.0,6404.0,67910.0,2250.0,63378.0,6367.22,446131.78,229.22,16060.74,57305,4015186,250,348.61968686660987,240.0
store_30,30,0,01/02/2003,,Fashion apparel,Family Fashion,Jeans,6507380.0,1196836.0,339.0,mall_0,Germany Third Parties,80523.0,7556.0,13.0,-96508.0,31742.0,12270.0,6250.0,74682.0,6671.0,94195.0,6234.67,528517.22,224.45,19026.62,56112,4756655,250,297.198504027618,180.0
store_31,31,0,01/06/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,5082763.0,371034.0,178.0,mall_0,Germany Third Parties,80523.0,7738.0,13.0,-18721.0,67186.0,4515.0,7419.0,50659.0,8426.0,707.0,6041.0,343741.56,218.35,12424.39,54369,3093674,249,335.605734549753,180.0
store_32,32,0,01/06/2001,,Food & Beverage Services,Fast Meal,American & Burgers,4875243.0,174222.0,456.0,mall_0,Germany Third Parties,80523.0,7711.0,13.0,-121602.0,45159.0,2216.0,6928.0,80041.0,2358.0,72823.0,75962.67,301623.11,2734.66,10858.43,683664,2714608,250,1248.1636700098238,840.0
store_33,33,0,01/11/1986,,Services,Multiservices shops,Multiservices shops,1432164.0,189812.0,484.0,mall_0,Germany Third Parties,80523.0,7664.0,13.0,-16026.0,22521.0,1424.0,12709.0,30258.0,13613.0,22984.0,3072.44,769733.44,110.61,27710.4,27652,6927601,250,246.87204397290043,120.0
store_289,340,0,21/03/2024,,Services,Multiservices shops,Multiservices shops,1859415.0,656296.0,334.0,mall_0,Germany Third Parties,80523.0,7664.0,13.0,-100128.0,30725.0,443.0,2845.0,33007.0,15329.0,5064.0,3072.44,769733.44,110.61,27710.4,27652,6927601,250,246.87204397290043,120.0
store_34,35,0,22/09/2010,,Home,Furniture & Interior Design,Decoration accessories / Design,393804.0,880828.0,224.0,mall_0,Germany Third Parties,80523.0,7540.0,13.0,-45519.0,88532.0,9177.0,8184.0,42335.0,15154.0,12567.0,27870.44,209616.56,1040.8,7828.0,250834,1886549,241,359.8508268511668,240.0
store_35,36,0,28/10/2010,,Food & Beverage Services,Fast Meal,Fish & Seaproducts,6184645.0,1241244.0,7.0,mall_0,Germany Third Parties,80523.0,7642.0,13.0,-120536.0,33531.0,10567.0,13664.0,45004.0,15436.0,24036.0,17476.11,284198.22,655.35,10657.43,157285,2557784,240,914.3112041088071,540.0
store_36,37,0,01/05/2009,,Fashion apparel,Women's Fashion,Women's Fashion,2658463.0,597243.0,278.0,mall_0,Germany Third Parties,80523.0,7688.0,13.0,-62245.0,50105.0,3812.0,2642.0,75615.0,7103.0,17129.0,18053.56,504726.56,649.93,18170.16,162482,4542539,250,388.1769152814826,180.0
store_38,39,0,23/10/1990,,Fashion apparel,Lingerie & Underwear,Women underwear,2153843.0,192633.0,440.0,mall_0,Germany Third Parties,80523.0,7607.0,13.0,-10911.0,23324.0,4493.0,3734.0,38989.0,16007.0,98961.0,2404.0,294647.22,86.54,10607.3,21636,2651825,250,337.5464124435524,180.0
store_40,41,0,28/10/2010,,Fashion apparel,Family Fashion,Family Fashion,4710894.0,1274222.0,237.0,mall_0,Germany Third Parties,80523.0,7644.0,13.0,-92194.0,12688.0,3230.0,1838.0,61315.0,7883.0,57334.0,71909.33,312256.33,2588.74,11241.23,647184,2810307,250,935.9912827460412,720.0
store_42,43,0,01/04/1990,,Services,Clothing-related services,Dry cleaning,2020287.0,222458.0,344.0,mall_0,Germany Third Parties,80523.0,7665.0,13.0,-46365.0,86318.0,10733.0,11676.0,65067.0,6025.0,56309.0,6465.67,769898.0,232.76,27716.33,58191,6929082,250,215.9011548355317,120.0
store_44,45,0,01/10/2006,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,7439082.0,201640.0,283.0,mall_0,Germany Third Parties,80523.0,7722.0,13.0,-63550.0,76207.0,2854.0,3926.0,7494.0,14681.0,80850.0,7089.11,195364.44,255.21,7033.12,63802,1758280,250,2807.8841417359035,2820.0
store_46,47,0,01/01/2008,,Food & Beverage Services,Service to table restaurants,American & Burgers & Steakhouse,1917818.0,1034610.0,214.0,mall_0,Germany Third Parties,80523.0,7735.0,13.0,-104711.0,68956.0,8974.0,7461.0,45139.0,2724.0,74257.0,24019.11,600658.33,864.69,21623.7,216172,5405925,250,3689.8917865201306,3360.0
store_47,48,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Multibrand electronics,8334663.0,920996.0,223.0,mall_0,Germany Third Parties,80523.0,7542.0,13.0,-76953.0,87193.0,3365.0,6143.0,31361.0,1034.0,96075.0,85288.11,453170.89,3120.3,16579.42,767593,4078538,246,902.1012188881524,660.0
store_49,50,0,01/05/2009,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,9142654.0,1045358.0,237.0,mall_0,Germany Third Parties,80523.0,7515.0,13.0,-91016.0,46887.0,1827.0,7591.0,45311.0,686.0,91257.0,7426.78,528507.56,267.36,19026.27,66841,4756568,250,347.57233096779225,180.0
store_50,51,0,01/01/2009,,Jewellery,Jewellery & Watches,Watches,701855.0,1153416.0,42.0,mall_0,Germany Third Parties,80523.0,7585.0,13.0,-105741.0,3488.0,7325.0,9362.0,40917.0,14471.0,15063.0,4276.0,913055.44,153.94,32870.0,38484,8217499,250,322.32597864768684,120.0
store_51,52,0,01/03/1999,,Fashion apparel,Women's Fashion,Women's Fashion,9609395.0,1183117.0,308.0,mall_0,Germany Third Parties,80523.0,7687.0,13.0,-41423.0,30751.0,1106.0,5977.0,37733.0,5159.0,31196.0,13387.44,504736.0,481.95,18170.5,120487,4542624,250,308.625318606627,180.0
store_52,53,0,28/10/2010,,Food & Beverage Services,Fast Meal,Cafeterias,6947932.0,1177324.0,93.0,mall_0,Germany Third Parties,80523.0,7576.0,13.0,-99811.0,18756.0,12650.0,14376.0,82980.0,16290.0,112186.0,7803.22,466061.22,282.04,16845.59,70229,4194551,249,2174.0081323279774,1860.0
store_53,54,0,01/08/1995,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Coffee beans & capsules,3366887.0,685650.0,419.0,mall_0,Germany Third Parties,80523.0,7593.0,13.0,-116261.0,40560.0,9159.0,10487.0,64455.0,5093.0,69149.0,25905.0,1266832.67,932.58,45605.98,233145,11401494,250,349.01169826542963,240.0
store_54,56,0,15/09/2010,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,4890786.0,457951.0,62.0,mall_0,Germany Third Parties,80523.0,7524.0,13.0,-74609.0,54002.0,687.0,10663.0,79225.0,8266.0,69367.0,2880.67,782490.0,103.7,28169.64,25926,7042410,250,347.37400938678155,180.0
store_55,57,0,01/08/2009,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",10003955.0,600600.0,200.0,mall_0,Germany Third Parties,80523.0,7684.0,13.0,-89322.0,8764.0,7343.0,13156.0,64629.0,12172.0,71337.0,31157.11,505032.56,1121.66,18181.17,280414,4545293,250,194.0560902247121,120.0
store_56,58,0,01/06/2010,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",2841376.0,305970.0,345.0,mall_0,Germany Third Parties,80523.0,7700.0,13.0,-58363.0,76870.0,12489.0,9569.0,41526.0,8690.0,11783.0,34967.11,1281712.44,1258.82,46141.65,314704,11535412,250,149.80380299343085,120.0
store_58,60,0,01/11/1975,,Services,Imaterial services,Travel Agency,5724297.0,1097918.0,312.0,mall_0,Germany Third Parties,80523.0,7649.0,13.0,-3529.0,13139.0,7932.0,9070.0,55976.0,4808.0,75197.0,1195.56,769623.56,43.04,27706.45,10760,6926612,250,1652.196923076923,1020.0
store_59,61,0,01/09/2000,,Home,Furniture & Interior Design,Tableware and kitchen tools,9038528.0,145615.0,493.0,mall_0,Germany Third Parties,80523.0,7533.0,13.0,-88635.0,33753.0,428.0,1446.0,40267.0,12167.0,31191.0,4962.44,230144.67,183.79,8523.88,44662,2071302,243,331.78356533453075,180.0
store_66,68,0,10/03/2011,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,9539924.0,1293208.0,203.0,mall_0,Germany Third Parties,80523.0,7512.0,13.0,-89286.0,6281.0,6645.0,9358.0,69297.0,4511.0,1290.0,63776.56,782473.11,2295.96,28169.03,573989,7042258,250,774.3926142891149,540.0
store_69,71,0,05/03/2011,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,9183423.0,554892.0,258.0,mall_0,Germany Third Parties,80523.0,7652.0,13.0,-90965.0,66825.0,2669.0,15515.0,84095.0,7116.0,88527.0,3585.0,769633.11,129.06,27706.79,32265,6926698,250,460.3363994743758,240.0
store_72,74,0,01/06/2011,,Health & Beauty,Pharmacy,Pharmacy,6823914.0,807295.0,199.0,mall_0,Germany Third Parties,80523.0,7699.0,13.0,-107243.0,19873.0,3598.0,11690.0,11524.0,4999.0,111930.0,31724.44,1281017.89,1142.08,46116.64,285520,11529161,250,333.91373178845936,240.0
store_38,75,0,26/08/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,3390211.0,869719.0,393.0,mall_0,Germany Third Parties,80523.0,7675.0,13.0,-71097.0,84487.0,9679.0,13751.0,61095.0,9318.0,11795.0,4875.67,769714.89,175.52,27709.74,43881,6927434,250,384.7443689667501,180.0
store_74,77,0,04/11/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,2956349.0,389120.0,287.0,mall_0,Germany Third Parties,80523.0,7624.0,13.0,-22631.0,47254.0,5180.0,8055.0,27015.0,1019.0,10525.0,7084.67,349436.11,255.05,12579.7,63762,3144925,250,360.7925183185499,180.0
store_75,78,0,24/11/2011,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,2804990.0,1110487.0,321.0,mall_0,Germany Third Parties,80523.0,7552.0,13.0,-121328.0,88698.0,9582.0,9551.0,79598.0,15074.0,109038.0,115948.0,209644.33,4330.01,7829.04,1043532,1886799,241,767.1072145697322,600.0
