block_id,external_mall_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data
2821,12,13296.69,561316.62,473.58,19992.1,172857,7297116,365
7750,13,12707.89,600629.56,457.48,21622.66,114371,5405666,250
4482,10,4316.31,210206.85,153.31,7466.36,56112,2732689,366
2331,24,4060.69,173517.31,144.23,6163.18,52789,2255725,366
45,7,44255.5,525790.38,1580.55,18778.23,354044,4206323,224
5222,14,23667.62,622221.0,840.65,22100.75,307679,8088873,366
6782,33,3026.1,201574.3,103.99,6926.95,30261,2015743,291
4441,17,24673.54,227525.69,881.2,8125.92,320756,2957834,364
4471,10,3934.5,272805.83,152.3,10560.23,23607,1636835,155
6540,26,1824.46,452564.92,65.34,16207.56,23718,5883344,363
6560,26,3607.15,653413.23,129.18,23400.47,46893,8494372,363
1961,14,6295.46,614803.23,223.61,21837.27,81841,7992442,366
4314,17,5603.75,645911.0,273.35,31507.85,22415,2583644,82
2908,12,47772.15,608208.15,1720.33,21902.23,621038,7906706,361
4437,17,5203.31,444890.69,185.32,15845.42,67643,5783579,365
6740,33,5895.2,421485.6,202.58,14484.04,58952,4214856,291
11729,32,7522.6,934609.8,284.95,35401.89,37613,4673049,132
14,7,2238.25,830722.0,79.94,29668.64,17906,6645776,224
470,15,128069.46,448470.31,4548.92,15929.27,1664903,5830114,366
2241,24,8155.0,293644.62,295.31,10633.37,106015,3817380,359
4862,7,11839.38,447790.5,422.83,15992.52,94715,3582324,224
1771,16,4355.46,374582.54,154.7,13304.84,56621,4869573,366
4269,17,20994.69,703842.92,745.71,24999.89,272931,9149958,366
6432,26,1610.4,154445.4,68.24,6544.3,8052,772227,118
4625,10,26523.15,933037.46,942.08,33140.67,344801,12129487,366
895,7,3402.75,638031.38,121.53,22786.83,27222,5104251,224
1878,16,31562.77,1297665.23,1121.08,46091.93,410316,16869648,366
6259,25,26184.92,267254.31,930.07,9492.64,340404,3474306,366
7394,30,6814.4,309048.4,256.18,11618.36,68144,3090484,266
7485,30,20517.4,674969.4,771.33,25374.79,205174,6749694,266
7614,13,3189.44,1266955.56,114.82,45610.4,28705,11402600,250
541,15,11777.23,511390.38,422.94,18364.85,153104,6648075,362
7171,19,2751.1,287741.1,103.42,10817.33,27511,2877411,266
6529,26,8874.69,247324.31,317.83,8857.34,115371,3215216,363
6305,25,12601.08,1198846.69,447.58,42581.99,163814,15585007,366
5121,14,6164.0,1606586.0,218.94,57064.53,80132,20885618,366
4176,19,2435.5,341561.0,94.58,13264.5,9742,1366244,103
6694,22,5640.36,490964.18,197.59,17199.38,62044,5400606,314
6673,22,32156.0,488251.0,1130.08,17158.98,353716,5370761,313
7556,13,6234.67,528517.22,224.45,19026.62,56112,4756655,250
7037,19,6254.3,412997.8,235.12,15526.23,62543,4129978,266
7352,30,10822.1,930789.8,406.85,34992.1,108221,9307898,266
2255,24,34012.92,953623.92,1208.11,33871.89,442168,12397111,366
4345,17,20955.46,704039.0,744.32,25006.85,272421,9152507,366
5944,23,19870.08,276196.69,705.77,9810.27,258311,3590557,366
5809,28,4664.15,655836.46,165.67,23294.74,60634,8525874,366
1705,16,24056.77,1127491.54,854.48,40047.51,312738,14657390,366
2843,12,10654.62,246792.46,378.44,8765.85,138510,3208302,366
426,15,2940.92,477563.77,104.46,16962.65,38232,6208329,366
1638,16,2852.77,492309.92,101.33,17486.42,37086,6400029,366
7579,13,10818.22,415115.0,402.33,15438.16,97364,3736035,242
4595,10,8933.15,742841.15,317.3,26385.07,116131,9656935,366
557,15,14168.77,971969.0,503.26,34523.49,184194,12635597,366
6349,25,3243.62,589507.0,115.21,20938.77,42167,7663591,366
4983,14,86352.89,694247.56,3185.15,25607.49,777176,6248228,244
