store_id,block_id,external_mall_id
11649,,
14777,,
15011,,
,,
14729,,
,,
14537,,
8977,,
,,
,,
258,7686,13
13478,,
10691,,
294,7742,13
717,7205,19
13465,,
,,
,,
,,
,,
,,
,,
,,
1914,6990,33
1914,6745,33
11923,,
749,,
,,
9091,,
,,
,,
,,
12681,,
1606,,
14853,,
15087,,
8203,,
14185,,
10808,,
14461,,
,,
,,
,4668,10
,,
,,
,,
9023,,
14535,,
533,7074,19
,,
2115,6994,33
,,
230,7704,13
,,
,,
,,
,,
13386,,
951,,
10140,5976,23
,,
,,
,,
9542,,
1620,,
,,
8464,,
11750,,
,,
6194,,
15158,,
,,
13506,,
7503,,
9920,5888,28
15078,,
9044,,
,,
11528,6172,25
6376,,
15068,,
13774,,
,,
15434,,
1733,,
834,,
,,
10695,,
12924,,
14459,,
15066,,
,,
9666,,
13360,,
1586,,
,5850,28
6810,,
,,
,6037,23
9601,,
,,
10179,6133,23
15202,,
1638,7354,30
10125,6033,23
2791,,
2931,,
14998,,
11674,,
,,
,,
,,
,11189,18
,,
6351,,
,,
,,
13754,,
7047,1292,36
11657,,
12989,,
9500,,
,,
,,
15306,,
340,7600,13
340,7664,13
,,
15355,,
9147,,
14711,,
,7294,30
,,
351,,
3767,,
17,,
,,
12350,11494,32
11911,,
13685,,
,,
,,
12651,,
14540,,
,,
,11678,32
15267,,
,,
12036,,
11606,,
1354,4468,10
688,7079,19
,,
,,
,4346,17
,,
12847,,
13384,,
,,
9204,11289,18
,,
,,
7324,1170,36
,,
9763,,
,,
9917,5836,28
9059,,
,,
10543,,
14237,,
10488,,
,,
,,
10338,,
3453,,
1657,,
12133,11505,32
,,
13289,,
2296,,
14501,,
,,
7027,,
12940,,
1331,4554,10
,,
15362,,
,,
13027,,
,,
14047,,
6571,,
15292,,
15244,,
14173,,
,,
752,,
13706,,
5115,1709,16
586,,
1575,,
,,
1355,4742,10
1355,4765,10
,,
12061,,
,,
,,
,,
,4125,19
14599,,
13753,,
10278,6134,23
,,
80,7707,13
,,
,,
,,
10769,,
,,
,,
,,
11565,6150,25
12637,,
,11437,32
12419,,
,,
,,
14144,,
,,
15471,,
1944,6915,33
,,
,,
,,
10132,6088,23
2388,,
2218,6758,33
9987,5729,28
8622,,
2783,,
,,
,,
14879,,
,,
,,
10764,,
,,
15232,,
15058,,
2152,6741,33
15189,,
10246,6136,23
,,
,,
,,
,,
,,
768,,
15184,,
8839,,
14933,,
,,
14652,,
,,
,,
12975,,
13201,,
,,
,,
2097,,
,,
,,
2236,6785,33
8470,,
15269,,
1735,7319,30
,7743,13
120,,
,,
,,
,,
,,
,,
12655,,
,,
14924,,
,,
,,
15065,,
11048,2242,24
11048,2341,24
15254,,
15238,,
8819,,
14716,,
1130,4584,10
6924,,
,,
7589,,
12392,12036,32
,,
,,
,,
,,
1004,,
1752,7331,30
,,
6963,,
7594,,
,,
12351,,
9494,11200,18
,,
13750,,
13624,,
731,4178,19
,,
,,
,,
,,
1428,4750,10
,,
15507,,
11600,,
13904,,
,,
,,
,,
,,
15151,,
8908,,
12582,,
11392,6276,25
,,
,,
2197,6896,33
244,,
162,7710,13
,,
,10855,32
11826,,
2347,,
10238,6030,23
14697,,
,,
12959,,
,,
,,
,,
11955,,
9969,5684,28
12687,,
,,
,,
866,,
,,
,,
1050,,
13687,,
,,
11928,,
15272,,
,,
9153,,
13322,,
7333,,
13876,,
13220,,
,,
13028,,
12481,,
13060,,
15358,,
,,
10188,5977,23
699,7087,19
466,,
14079,,
,,
2413,,
,,
,,
,,
2702,,
725,7258,19
10595,,
,,
,,
,,
,,
,,
,,
15268,,
,,
,4521,10
,,
13067,,
,,
,,
11120,6374,26
13234,,
14691,,
13199,,
,,
1199,4690,10
1199,4759,10
12148,11758,32
15082,,
,,
,,
1181,4694,10
12553,,
,,
15243,,
773,,
10612,,
14713,,
8747,,
9766,,
,,
,,
,,
14689,,
,,
1615,,
,,
,,
,,
,,
,,
,,
,,
10946,,
9645,,
,,
,,
15183,,
11517,6349,25
,,
,,
,,
12971,,
15182,,
13469,,
14478,,
12808,,
14477,,
15433,,
10959,2327,24
,,
15259,,
11208,6444,26
8893,,
,,
,,
9276,,
,,
1056,,
1600,,
,,
7682,,
1804,7411,30
9712,,
7435,,
14493,,
13194,,
,,
,,
,,
,,
,,
257,7577,13
,,
13525,,
1611,,
7963,,
15285,,
10763,,
,6769,33
,,
,,
,,
15397,,
,,
10709,,
11294,6492,26
9207,11265,18
14097,,
10698,,
10716,,
9334,,
,,
14238,,
,,
,,
,,
,,
,7306,30
6989,,
33,7600,13
33,7664,13
8250,,
7922,,
,,
,,
,,
14858,,
,,
11641,,
9677,,
12537,,
15079,,
15485,,
998,,
,,
,,
1612,,
1622,,
13387,,
,,
,,
9695,,
,,
2139,6774,33
,7245,19
9203,11207,18
7970,,
,,
14725,,
,7488,30
15080,,
14236,,
9180,,
15523,,
,,
,,
,,
,,
,,
1112,,
14334,,
9240,11041,18
12596,,
746,7167,19
12890,,
690,7080,19
,,
10050,,
2818,,
,,
14702,,
,,
,,
11015,2347,24
,,
,,
14717,,
15197,,
,,
,,
76,,
,,
,,
,,
,,
,,
10027,,
15308,,
,,
,,
12650,,
15174,,
,,
8846,,
12646,,
,,
15103,,
15266,,
10051,6138,23
,,
682,7082,19
414,4225,19
14670,,
,,
,,
,,
,,
8281,,
,,
851,,
14543,,
9906,5762,28
6204,,
13374,,
,,
6153,,
,,
,,
12494,,
,,
42,,
,,
9206,11101,18
,,
14881,,
14563,,
,,
12786,,
,,
13355,,
,,
2222,6815,33
,,
,,
,,
,,
15187,,
,,
,,
,,
9200,,
,,
4,7672,13
13304,,
1190,4699,10
,,
,,
,,
11856,,
,,
,,
2907,,
,,
,,
2283,,
,,
,,
,,
9055,,
,,
,,
13521,,
,,
,,
12522,,
12528,,
,,
,,
,,
,,
,,
9732,,
11072,2292,24
,,
13388,,
6362,,
14289,,
8351,,
15152,,
,,
,,
14420,,
12438,,
,,
1835,7357,30
14709,,
1921,6742,33
949,,
,,
12109,11487,32
14639,,
10115,,
10121,5990,23
9670,,
14292,,
10190,6087,23
10826,,
,,
2900,,
,,
12092,11453,32
,,
,,
,,
,,
,,
10983,,
15070,,
9388,11172,18
1572,,
1242,4715,10
,,
,,
,,
,,
1019,,
,,
,,
,,
,,
13385,,
9970,5680,28
,,
9209,11316,18
1588,,
8861,,
11735,,
14774,,
10321,,
,,
,,
15056,,
10792,,
14684,,
,,
10011,5812,28
14931,,
13051,,
,2217,24
,,
,,
,,
,,
13644,,
,,
,,
10745,,
,,
2215,6890,33
,,
8774,,
6525,,
7487,,
1891,7420,30
13589,,
14676,,
8841,,
7373,,
,,
9165,,
12080,11534,32
,,
11812,,
14712,,
2160,6806,33
,,
,,
,,
,,
,,
,,
528,7213,19
,,
9261,11319,18
15168,,
11636,,
1526,,
,,
,,
10906,,
,,
13879,,
2233,,
429,7216,19
1168,4697,10
1026,,
14930,,
14815,,
,,
,,
2210,,
8502,,
,,
,,
,,
6805,,
,,
13559,,
9698,,
,,
9800,5700,28
,,
,,
6915,,
,,
,,
11496,6201,25
9188,,
,,
,,
920,,
118,7546,13
2232,6749,33
2232,6891,33
12843,,
,,
,,
1068,,
11756,,
,,
,,
,11441,32
,,
14916,,
15206,,
,,
11924,,
8008,,
886,,
14700,,
2893,,
6829,,
,,
9054,,
,,
,7773,13
,,
15175,,
10142,6101,23
,,
2332,,
,,
,,
10661,,
10927,,
,,
9271,,
,11566,32
,,
,,
,,
1163,4710,10
14387,,
,,
,,
15470,,
11391,,
,,
13943,,
,,
13245,,
,,
5825,,
,,
,,
,,
13734,,
,,
8061,,
13524,,
,,
149,7611,13
12999,,
,,
,,
9004,,
2456,,
12067,,
10609,,
11139,6430,26
,,
14714,,
12682,,
1164,,
14615,,
,,
,,
,,
11706,,
15230,,
,,
,,
7174,1084,36
214,,
8321,,
,,
,,
10494,,
9802,5704,28
,,
,,
13972,,
,,
14680,,
,,
15288,,
,,
,,
,,
,,
11817,,
,,
,,
2248,6948,33
,,
11310,,
,,
,,
,,
15107,,
757,,
,,
,,
1794,7429,30
8996,,
561,,
,,
,,
12696,,
12049,,
,,
2434,,
675,,
12753,,
10253,6104,23
,,
14324,,
13439,,
,,
15284,,
2256,,
9806,5757,28
12709,,
14638,,
10054,5923,23
10300,6068,23
,,
,,
13096,,
10022,,
1822,7323,30
,6371,25
12736,,
,,
5926,10,7
,,
,,
4075,,
4744,5152,14
,,
,,
,,
,,
3184,,
5668,4333,17
,,
,,
5801,4441,17
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
5453,486,15
,6436,26
,6556,26
,,
,2235,24
,,
,6182,25
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2507,,
,,
2510,,
,,
,,
,,
2555,,
,,
,,
,,
2594,,
4423,6597,22
,,
,,
,,
,,
,,
,,
6292,,
6706,,
,,
,,
,,
,,
,,
,,
,,
,6155,25
,,
,,
,,
,,
2686,,
2701,,
,,
,,
,,
,,
,,
,,
4304,,
4300,,
4325,,
,,
,,
,,
,,
,,
12445,,
,,
,,
,,
,,
,,
12915,,
12710,,
,,
,,
,,
,,
,,
13092,,
13106,,
13110,,
,,
13117,,
,,
,,
,,
13295,,
,,
,,
13332,,
13323,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
13988,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
14536,,
,,
14545,,
,,
,,
,,
14552,,
,,
,,
,,
,,
,,
,,
,,
,,
15052,,
15332,,
15335,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4541,2847,12
,,
,,
,,
4608,2866,12
,,
4676,2968,12
4708,2807,12
4723,2843,12
4727,2970,12
,,
,,
,,
,,
,,
,,
,,
,,
3500,,
3490,,
3509,,
3512,,
3513,,
3404,,
3361,,
3460,,
,,
,,
3475,,
,,
,,
,1794,16
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
5191,1819,16
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
5240,1757,16
5236,1680,16
5316,1751,16
5344,1869,16
5371,,
5365,,
5364,1329,16
,,
,,
,,
,,
4924,,
4973,,
5029,,
4773,5031,14
,,
,,
4776,5172,14
4828,5165,14
,,
,,
4864,5174,14
5020,,
5069,14821,14
5093,5048,14
,,
4880,4955,14
4761,,
4785,,
5040,5206,14
5057,5212,14
,,
,,
3623,,
3618,,
3666,,
,,
3697,,
3699,,
3722,,
3716,,
3741,,
3744,,
,,
2972,,
2989,,
3071,,
3074,,
,,
,,
,,
3186,,
3273,,
3239,,
3287,,
,,
,,
,,
,,
,,
3753,,
3790,,
3840,,
3841,,
3851,,
3895,,
,,
,,
,,
,,
,,
4015,,
,,
,,
3927,,
,,
,,
,,
,,
3956,,
,,
,,
5976,,
,,
5888,25,7
5881,4836,7
,,
5902,17,7
,,
,,
,,
,,
6009,,
,14477,7
,,
,,
,,
,,
,,
,,
,,
,,
5652,4316,17
,,
,,
,,
,,
,,
,,
5706,4318,17
,,
5757,,
5828,4383,17
,,
,,
,,
,,
,,
,,
,,
3319,,
,,
3342,,
,,
,,
,,
,,
3560,,
,,
,,
,,
,,
,,
,,
5437,,
,,
,,
5470,445,15
5506,,
5595,413,15
,451,15
,,
,,
5426,606,15
,,
5550,,
5553,608,15
,,
,,
,,
,,
,,
,,
,,
,,
4412,6724,22
,,
,,
,,
,,
,,
4452,6671,22
4492,6720,22
4059,,
,,
,,
,,
,,
4104,,
,,
4287,,
4211,,
,,
4235,,
4254,,
6095,,
6125,,
6115,,
6117,,
,,
,,
12517,,
,,
,,
12543,,
12552,,
,,
,,
12608,,
12639,,
,,
,,
,,
12972,,
,,
12766,,
,,
,,
13148,,
13174,,
,,
13179,,
,,
,,
,,
,,
,,
13450,,
13455,,
13464,,
13675,,
13679,,
13705,,
13720,,
13722,,
13737,,
,,
,,
,,
13804,,
,,
13826,,
,,
13855,,
,,
14008,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
14533,,
,,
,,
14572,,
,,
14577,,
,,
,,
,,
14619,,
14623,,
14668,,
14695,,
,,
14755,,
,,
,,
,,
,,
,,
,,
14901,,
14935,,
,,
15069,,
,,
,,
,,
,,
15077,,
