store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area
store_0,0,0,01/01/1999,31/08/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,2482679.0,305241.0,180.0
store_1,1,0,28/10/2010,,Services,Clothing-related services,Clothes repairs,1693316.0,663785.0,379.0
store_2,2,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,2954560.0,326322.0,162.0
store_3,3,0,28/10/2010,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",9706951.0,1189964.0,268.0
store_4,4,0,28/10/2010,,Services,Photo services,Photo Development,4217850.0,145534.0,33.0
store_5,5,0,23/10/1990,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1645623.0,503069.0,320.0
store_6,6,0,23/10/1990,,Services,Imaterial services,Medical Services,4819613.0,825681.0,153.0
store_7,7,0,05/01/2000,,Food & Beverage Services,Fast Meal,American & Burgers,222364.0,345450.0,329.0
store_8,8,0,01/02/2004,,Entertainment,Entertainment,Cinemas,3283064.0,1346742.0,68.0
store_9,9,0,06/09/2010,31/03/2021,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,8487200.0,925502.0,247.0
store_10,10,0,28/10/2010,,Health & Beauty,Hair & Body,Hairdressers,2992705.0,1249996.0,180.0
store_11,11,0,01/06/2010,31/07/2022,Bags & Footwear & Accessories,Footwear,Family footwear,7913884.0,200592.0,336.0
store_12,12,0,01/09/2009,09/01/2022,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,6368389.0,255811.0,356.0
store_13,13,0,16/09/2010,31/07/2022,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,3259019.0,823661.0,144.0
store_14,14,0,01/09/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,5065882.0,818429.0,93.0
store_15,15,0,01/02/2008,17/03/2022,Bags & Footwear & Accessories,Footwear,Sport shoes,652721.0,513998.0,496.0
store_16,16,0,15/10/2010,19/12/2021,Food & Beverage Services,Sweet moments,Juices,1531386.0,941261.0,8.0
store_17,17,0,28/10/2010,09/01/2022,Culture & Media & Technology,Computer Products & Electronics games,"Video games, softwares",6927180.0,724299.0,182.0
store_18,18,0,01/06/2000,31/03/2024,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,4952518.0,1137885.0,354.0
store_19,19,0,01/02/2009,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,4747128.0,463216.0,436.0
store_20,20,0,01/04/2010,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,8470516.0,1232343.0,107.0
store_21,21,0,01/07/1996,,Fashion apparel,Family Fashion,Family Fashion,8416184.0,120016.0,336.0
store_22,22,0,01/09/2004,,Health & Beauty,Hair & Body,Hairdressers,7051614.0,1285484.0,205.0
store_23,23,0,28/10/2010,09/02/2021,Fashion apparel,Lingerie & Underwear,Women underwear,6920099.0,560153.0,62.0
store_24,24,0,28/10/2010,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,3035947.0,845702.0,349.0
store_25,25,0,01/09/2000,15/02/2024,Fashion apparel,Women's Fashion,Women's Fashion,2382914.0,86592.0,447.0
store_26,26,0,01/09/2000,06/03/2022,Fashion apparel,Matern./Childr. Fash.,Children fashion,8458820.0,1013939.0,60.0
store_27,27,0,23/10/1986,,Fashion apparel,Family Fashion,Family Fashion,5947005.0,1349641.0,351.0
store_28,28,0,01/11/1999,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,786346.0,1074980.0,504.0
store_29,29,0,01/05/1999,,Bags & Footwear & Accessories,Leath. Bags/Luggage,Luggage,9388296.0,1183996.0,314.0
store_30,30,0,01/02/2003,,Fashion apparel,Family Fashion,Jeans,6507380.0,1196836.0,339.0
store_31,31,0,01/06/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,5082763.0,371034.0,178.0
store_32,32,0,01/06/2001,,Food & Beverage Services,Fast Meal,American & Burgers,4875243.0,174222.0,456.0
store_33,33,0,01/11/1986,,Services,Multiservices shops,Multiservices shops,1432164.0,189812.0,484.0
store_33,34,0,23/10/1990,28/01/2024,Services,Multiservices shops,Multiservices shops,9634584.0,297096.0,122.0
store_34,35,0,22/09/2010,,Home,Furniture & Interior Design,Decoration accessories / Design,393804.0,880828.0,224.0
store_35,36,0,28/10/2010,,Food & Beverage Services,Fast Meal,Fish & Seaproducts,6184645.0,1241244.0,7.0
store_36,37,0,01/05/2009,,Fashion apparel,Women's Fashion,Women's Fashion,2658463.0,597243.0,278.0
store_37,38,0,13/01/1997,28/05/2022,Fashion apparel,Women's Fashion,Women's Fashion,9957580.0,333382.0,99.0
store_38,39,0,23/10/1990,,Fashion apparel,Lingerie & Underwear,Women underwear,2153843.0,192633.0,440.0
store_39,40,0,01/01/2010,30/11/2020,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,5392389.0,261882.0,478.0
store_40,41,0,28/10/2010,,Fashion apparel,Family Fashion,Family Fashion,4710894.0,1274222.0,237.0
store_41,42,0,01/05/1999,30/09/2024,Services,Multiservices shops,Multiservices shops,9822247.0,627126.0,152.0
store_42,43,0,01/04/1990,,Services,Clothing-related services,Dry cleaning,2020287.0,222458.0,344.0
store_43,44,0,01/10/2009,28/02/2022,Food & Beverage Services,Fast Meal,Local Kitchen,4250470.0,757486.0,13.0
