store_id,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m
0,,16197.0,10101.0,,,,
55,,,14420.0,,,652.0,
259,,,2424.0,,,3481.0,44779.0
226,,511.0,47797.0,,3452.0,,
104,,6509.0,2469.0,,,,
105,,137068.0,0.0,2616.0,263537.0,,639.0
148,,3029.0,10759.0,,10195.0,,
337,,16873.0,0.0,,,,347.0
157,,,4527.0,2867.0,,,
280,,,0.0,,,,
290,,,0.0,9983.0,15654.0,5323.0,
74,,384460.0,10177.0,30318.0,73.0,,
262,,2295.0,0.0,,7582.0,,2381.0
2,,29733.0,0.0,,12361.0,,42319.0
229,,14634.0,0.0,,23352.0,,
335,,73162.0,0.0,,,,
343,,,25686.0,,,,
162,,165123.0,17046.0,175.0,,,
233,,6752.0,0.0,,,,163967.0
67,,32964.0,2402.0,,,,734.0
299,,4757.0,33730.0,,1209.0,,
,,,0.0,246.0,,,2427.0
324,,40878.0,0.0,,10528.0,,
315,,23781.0,0.0,,14270.0,5113.0,
350,,43102.0,19629.0,,11270.0,,
,,167082.0,4773.0,,,828.0,1564.0
235,,13963.0,4691.0,,,,
143,,,0.0,,,,
284,,,7776.0,,39692.0,,
69,,5058.0,16213.0,,3138.0,,2092.0
271,,10488.0,5178.0,,12889.0,1716.0,166315.0
106,,2521.0,12055.0,,,,
3,,,3580.0,,,,
4,,338444.0,1309.0,1639.0,414791.0,,
118,,39543.0,0.0,3350.0,4068.0,27105.0,81482.0
5,,20701.0,0.0,,,,335361.0
167,,22353.0,7030.0,,169545.0,,9433.0
125,,63896.0,9048.0,,,,1986.0
209,,71086.0,0.0,,,,
138,,,0.0,,10149.0,,
270,,,0.0,,100009.0,,
6,,,1263.0,,,,
121,,60468.0,2856.0,2289.0,76.0,,
7,,45973.0,0.0,,,,
264,,130.0,0.0,,,,1945.0
170,,,0.0,2891.0,19328.0,,
172,,2523.0,0.0,,,,163405.0
146,,5745.0,0.0,3382.0,3390.0,,
247,,,4394.0,,78446.0,,9497.0
232,,6719.0,0.0,,27576.0,,
194,,238.0,0.0,,,,96.0
206,,,0.0,6236.0,1627.0,,
186,,3294.0,46622.0,2831.0,7460.0,,856.0
234,,86147.0,0.0,,,,
203,,58334.0,0.0,,,1327.0,
279,,,3573.0,,2855.0,,2643.0
313,,270679.0,2397.0,,18961.0,,
334,,75662.0,0.0,,12464.0,3985.0,
212,,,0.0,,11205.0,6225.0,
8,,27250.0,0.0,,8955.0,,70055.0
81,,3108.0,0.0,,,,
9,,20993.0,0.0,4379.0,79007.0,,1429.0
244,,20280.0,0.0,,110827.0,,
10,,20699.0,0.0,,,,
84,,11258.0,0.0,10473.0,,,3434.0
239,,107479.0,0.0,,,,141304.0
132,,,0.0,,,,646.0
306,,75756.0,0.0,,,4450.0,
11,,1188463.0,0.0,,190848.0,,-14864.0
302,,,0.0,14897.0,,,
168,,29225.0,0.0,2806.0,119434.0,,
197,,108384.0,3134.0,,,,
221,,9489.0,0.0,,4366.0,,
12,,11164.0,4560.0,,,,
210,,,2957.0,,,,
139,,24884.0,4990.0,,,,
88,,5336.0,917.0,,2793.0,,34.0
13,,,0.0,,,,
305,,32394.0,0.0,,,,547.0
26,,,19441.0,,,,621.0
286,,,0.0,12389.0,,,195055.0
308,,8970.0,3054.0,2099.0,1652.0,,
,,1601.0,0.0,,,,
14,,7842.0,4082.0,,,44519.0,46040.0
122,,,6994.0,5634.0,3962.0,,88607.0
113,,386.0,0.0,6755.0,,,
255,,19282.0,0.0,7422.0,24508.0,,52477.0
159,,717848.0,11820.0,,,,
134,,1113.0,5884.0,,71207.0,,
161,,,0.0,,,,41958.0
,,4829.0,0.0,,54790.0,,
111,,,0.0,3598.0,6146.0,,69870.0
133,,,6393.0,,,,1117.0
223,,120847.0,3568.0,,6031.0,,
95,,,0.0,,110566.0,,
250,,55879.0,3596.0,,,,
291,,122564.0,9194.0,4513.0,,,4792.0
80,,,0.0,,32314.0,6000.0,30430.0
191,,18530.0,0.0,,215630.0,,
,,232.0,15352.0,,10506.0,,
,,28852.0,9718.0,,,,43740.0
141,,80773.0,0.0,,,,
15,,1827.0,0.0,,,,
293,,198576.0,77986.0,,,,
128,,23887.0,14339.0,,,,
90,,9214.0,5294.0,,8484.0,,41697.0
323,,108504.0,10065.0,,,,
17,,,0.0,,,,
174,,,0.0,,15552.0,,
76,,42074.0,3254.0,,,,
120,,70225.0,47261.0,,969.0,,91348.0
219,,127157.0,33879.0,219.0,,,
115,,6620.0,0.0,,39272.0,,
19,,,0.0,26983.0,,3300.0,
312,,27207.0,0.0,,,4209.0,
242,,246225.0,0.0,,,,
179,,,1708.0,,,,
276,,2666.0,2633.0,,,,2185.0
178,,98554.0,8312.0,2643.0,,4461.0,
20,,496.0,0.0,,,,
79,,13981.0,8197.0,,,,14743.0
165,,92.0,4046.0,,626.0,,
124,,548269.0,12779.0,,1706.0,,
199,,42836.0,0.0,,,14434.0,92.0
110,,66996.0,8567.0,,,88.0,
269,,17776.0,1885.0,,,,
253,,110063.0,0.0,,12660.0,,
318,,21947.0,0.0,,56651.0,,
21,,,0.0,,,3894.0,
213,,12158.0,0.0,1663.0,195983.0,,
322,,2850.0,0.0,,,,158.0
126,,5074.0,7649.0,1736.0,,,9752.0
227,,81245.0,0.0,,,,
281,,,0.0,,,,
102,,950.0,18288.0,,,,238613.0
77,,43200.0,0.0,7502.0,5946.0,,391.0
93,,2099.0,0.0,539.0,,,
314,,8392.0,6079.0,,,301.0,
,,570.0,29344.0,7216.0,3189.0,,8081.0
22,,3452.0,17103.0,,54441.0,,
82,,7747.0,12380.0,,486.0,,265.0
23,,30693.0,0.0,,,,
347,,,6015.0,,,,
332,,386.0,0.0,,,,
352,,698664.0,2197.0,,,,
24,,81495.0,0.0,,,,86827.0
338,,64283.0,2113.0,26368.0,21348.0,,
85,,,5194.0,,,,
25,,13512.0,22617.0,,,,3463.0
326,,,3705.0,,,,269.0
173,,62320.0,0.0,,,11519.0,431.0
96,,21627.0,0.0,,3219.0,1855.0,
70,,20148.0,0.0,,,,5970.0
147,,8410.0,0.0,,43194.0,,
336,,3580.0,8923.0,10815.0,,,
345,,94374.0,0.0,2000.0,,,4838.0
175,,127.0,0.0,,,14330.0,3787.0
311,,,0.0,,,,246.0
27,,7192.0,0.0,,33000.0,,
268,,273523.0,3602.0,,13189.0,,
112,,,31365.0,,36139.0,7707.0,59467.0
153,,,6283.0,,,,
267,,,0.0,,463.0,3552.0,
114,,8869.0,5191.0,,,4865.0,55640.0
325,,,3474.0,,,,
192,,35326.0,0.0,,188016.0,,
292,,22564.0,0.0,955.0,,1330.0,
116,,,828.0,,109095.0,,37901.0
319,,1381.0,2197.0,,,,
256,,34344.0,9252.0,,22346.0,,
29,,,0.0,,1497.0,,
107,,,0.0,,,,490.0
30,,-2129.0,0.0,,,,
97,,,0.0,,20695.0,,
156,,24958.0,22818.0,,16074.0,,
181,,,0.0,,,4.0,
328,,7013.0,0.0,,,,
140,,3910.0,24455.0,,,,
238,,24802.0,1860.0,,7955.0,3078.0,
204,,,3323.0,,3101.0,,
340,,,0.0,,,,
31,,35256.0,42088.0,,11822.0,,1003.0
86,,478.0,2788.0,15605.0,,35690.0,
330,,386.0,2400.0,,1853.0,,
32,,3171.0,5229.0,,,,1224.0
,,,0.0,,,,
258,,46515.0,0.0,,,4757.0,
198,,126213.0,0.0,,128.0,,161665.0
129,,31144.0,0.0,,1286.0,,
33,,4373.0,4326.0,,72250.0,,94.0
34,,35873.0,6390.0,,27421.0,,4797.0
274,,,0.0,,,,
193,,,0.0,,,,
92,,56581.0,6906.0,,10943.0,,
294,,552.0,0.0,,,-43.0,
176,,6167.0,0.0,,76839.0,,
317,,,0.0,,125959.0,,
225,,40898.0,73706.0,,5442.0,,
298,,8216.0,8301.0,,,,
260,,,2470.0,,27690.0,,
246,,28868.0,2963.0,,,-196553.0,
78,,92.0,9905.0,,29901.0,,
296,,,0.0,,7710.0,,
353,,7209.0,0.0,2328.0,,,
160,,,12283.0,,,,
215,,19092.0,14385.0,,16110.0,,1922.0
35,,,9538.0,,78586.0,,
,,8683.0,4793.0,,,,
184,,8474.0,0.0,,,,
301,,121048.0,0.0,7212.0,127678.0,,
339,,12923.0,8708.0,,,,
36,,49903.0,8924.0,,127902.0,,2264.0
189,,480.0,0.0,,10970.0,21626.0,1201.0
163,,29066.0,6631.0,,,,2616.0
288,,41911.0,0.0,,17211.0,,
100,,12513.0,0.0,7911.0,172346.0,,
45,,8692.0,0.0,,3327.0,,
16,,17947.0,0.0,714.0,,,
98,,47092.0,3792.0,,1153.0,,
37,,4862.0,20196.0,,,,4138.0
38,,142790.0,25165.0,,46484.0,,
39,,5854.0,2120.0,,25656.0,,
75,,,0.0,,2120.0,,
245,,35266.0,4333.0,,,,9390.0
211,,14650.0,0.0,4936.0,,18866.0,
154,,,7620.0,,7086.0,,
130,,2436.0,8736.0,,609.0,,
41,,68756.0,0.0,6536.0,,,
310,,,24633.0,,7370.0,,554.0
169,,150255.0,5494.0,,1199.0,2971.0,
87,,14665.0,1240.0,2993.0,122673.0,,
201,,63002.0,4548.0,6383.0,122890.0,,3716.0
341,,8688.0,19242.0,,,,4697.0
149,,,44865.0,2606.0,,,
73,,21115.0,4249.0,21263.0,,,
309,,,4746.0,,,,115736.0
196,,13537.0,987.0,11365.0,,,
348,,23800.0,9147.0,,,,9138.0
351,,,7164.0,,,,
222,,40393.0,0.0,298.0,9563.0,,
42,,6862.0,0.0,,,6022.0,170274.0
18,-25625.0,13175.0,11587.0,,4388.0,,599.0
263,,-6623.0,58550.0,,,,
295,,,12947.0,,,,
103,,37927.0,596.0,,,,
43,,,0.0,19247.0,,38647.0,
44,,,0.0,,,,
289,,,0.0,,,,
261,,12236.0,0.0,,1695.0,,
72,,,0.0,,,,
254,,8869.0,0.0,,,,
142,,638.0,5242.0,,177069.0,2869.0,
344,,22578.0,0.0,,5223.0,,
152,,,10959.0,2415.0,,,
342,,230.0,-12331.0,,3331.0,,
202,,,0.0,,18786.0,,1342.0
60,,18988.0,0.0,,11491.0,,
46,,,0.0,4905.0,,,
47,,2053.0,4326.0,,,1392.0,
214,,423771.0,3521.0,,,,
48,,,13134.0,11421.0,,2902.0,
1,,1801.0,9007.0,,,424.0,
145,,20558.0,3933.0,,,,52140.0
49,,472291.0,0.0,,,,85796.0
240,,102731.0,1027.0,,,5030.0,
248,,9396.0,0.0,6734.0,,,
316,,9624.0,0.0,,,,76272.0
83,,,17586.0,,,,
144,,23.0,0.0,,43099.0,,
136,,-7527.0,0.0,1650.0,6941.0,,
249,,4236.0,0.0,4841.0,,,
155,,92963.0,10440.0,,,-11376.0,870.0
327,,19079.0,0.0,,8137.0,,
275,,6212.0,6909.0,,262.0,,
187,,13676.0,0.0,,3966.0,,
127,,,0.0,,166748.0,,
230,,,0.0,,6912.0,,
243,,7719.0,0.0,,,2855.0,
333,,,0.0,2161.0,,,
101,,,4315.0,,93093.0,,538.0
303,,,0.0,,448029.0,,
177,,20877.0,0.0,,,,4612.0
109,,8193.0,24307.0,,,30166.0,
285,,,4763.0,232.0,4002.0,,
205,,457.0,5599.0,,,,
257,,,0.0,,,,
94,,,0.0,12264.0,,,
66,,227640.0,4249.0,,,,1569.0
216,,10730.0,24724.0,5584.0,2210.0,,
228,,61940.0,0.0,,,,
300,,32689.0,36874.0,,,,
91,,39545.0,0.0,,,,
266,,148927.0,6561.0,,,,35442.0
