block_id,external_mall_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data
6191,25,9802.91,946624.91,371.83,35906.46,107832,10412874,290
6199,25,9392.77,981521.23,333.62,34862.78,122106,12759776,366
6515,26,3916.33,637980.33,192.61,31376.08,11749,1913941,61
5908,23,6812.62,255764.69,241.98,9084.54,88564,3324941,366
5909,23,4949.77,255781.85,175.81,9085.15,64347,3325164,366
4143,19,14919.0,458856.82,560.1,17226.71,164109,5047425,293
6681,22,20466.67,333499.08,728.78,11875.34,245600,4001989,337
5205,14,5686.15,1648018.38,201.97,58536.17,73920,21424239,366
5759,28,78447.38,1183206.38,2786.38,42026.46,1019816,15381683,366
1858,16,15258.77,391933.62,543.46,13959.28,198364,5095137,365
4312,17,18004.92,902322.85,639.52,32049.72,234064,11730197,366
11051,32,9746.83,254512.33,367.81,9604.24,58481,1527074,159
6154,25,31683.08,1145470.69,1125.36,40686.12,411880,14891119,366
1708,16,17281.23,1351094.08,613.81,47989.68,224656,17564223,366
4322,17,12126.69,280718.54,430.73,9970.88,157647,3649341,366
4293,17,199338.46,2082980.15,7080.33,73985.63,2591400,27078742,366
6428,26,41339.62,697115.62,1468.35,24760.94,537415,9062503,366
512,15,5580.46,647898.15,198.21,23012.78,72546,8422676,366
6920,33,3589.91,441658.09,124.18,15277.48,39489,4858239,318
1078,36,11910.25,207663.0,491.14,8563.42,47641,830652,97
11426,32,49272.0,965939.17,1859.32,36450.53,295632,5795635,159
4657,10,2606.23,541663.77,92.57,19239.42,33881,7041629,366
4478,10,22827.0,399186.92,810.8,14178.77,296751,5189430,366
6029,23,6357.45,749636.0,230.04,27124.99,69932,8245996,304
7245,19,12206.09,154314.18,458.25,5793.37,134267,1697456,293
6590,22,9889.83,382500.58,348.03,13460.43,118678,4590007,341
6768,33,1140.5,573231.5,43.45,21837.39,9124,4585852,210
6750,33,32836.36,400610.27,1135.85,13857.59,361200,4406713,318
4497,10,2493.08,423806.08,88.55,15053.22,32410,5509479,366
2334,24,53700.46,367249.31,1907.39,13044.37,698106,4774241,366
6687,22,58032.25,850994.58,2048.2,30035.1,696387,10211935,340
1681,16,12708.69,602886.38,451.4,21414.0,165213,7837523,366
4326,17,7797.92,836558.08,276.98,29713.81,101373,10875255,366
5919,23,19786.15,344796.15,702.79,12246.86,257220,4482350,366
6228,25,39539.38,1663937.15,1404.4,59101.59,514012,21631183,366
2907,12,6180.92,614700.92,219.54,21833.64,80352,7991112,366
11563,32,12137.67,448127.0,458.03,16910.45,72826,2688762,159
4523,10,2026.85,376169.08,71.99,13361.2,26349,4890198,366
4508,10,2502.69,533764.31,88.89,18958.84,32535,6938936,366
4737,10,19146.54,449877.77,680.07,15979.27,248905,5848411,366
6652,22,33999.25,1132799.33,1196.45,39863.91,407991,13593592,341
4418,17,15174.0,401427.33,551.78,14597.36,91044,2408564,165
1657,16,21752.0,1799070.38,772.61,63901.41,282776,23387915,366
4266,17,7667.85,865721.38,272.36,30749.67,99682,11254378,366
4736,10,12606.46,449936.92,447.77,15981.37,163884,5849180,366
2246,24,44582.92,975836.08,1583.55,34660.84,579578,12685869,366
7339,30,79264.82,1574556.73,2975.81,59113.05,871913,17320124,293
6624,22,16462.58,1387219.25,581.03,48960.68,197551,16646631,340
6900,33,3660.55,458718.27,126.62,15867.61,40266,5045901,318
5906,23,9357.0,221560.69,332.35,7869.64,121641,2880289,366
6384,26,2968.62,361177.23,105.44,12828.7,38592,4695304,366
11578,32,33289.5,616222.67,1256.21,23253.69,199737,3697336,159
4361,17,4598.54,661254.77,163.34,23487.19,59781,8596312,366
5942,23,13795.92,450453.0,490.02,15999.7,179347,5855889,366
2888,12,15454.77,2985319.69,548.94,106035.95,200912,38809156,366
5711,28,4584.31,693208.54,162.83,24622.16,59596,9011711,366
6573,26,6515.77,625382.54,231.43,22213.04,84705,8129973,366
6340,25,2517.92,189843.85,89.43,6743.09,32733,2467970,366
6634,22,7011.58,514264.08,248.2,18204.04,84139,6171169,339
6491,26,18625.31,593081.69,661.55,21065.74,242129,7710062,366
