store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area
store_0,0,0,01/01/1999,31/08/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,8058961.0,52824.0,0.0
store_1,1,0,28/10/2010,,Services,Clothing-related services,Clothes repairs,291179.0,,89.0
store_2,2,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,,184498.0,115.0
store_3,3,0,28/10/2010,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",,396868.0,81.0
store_4,4,0,28/10/2010,,Services,Photo services,Photo Development,5536831.0,501842.0,59.0
store_5,5,0,23/10/1990,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,340042.0,78000.0,293.0
store_6,6,0,23/10/1990,,Services,Imaterial services,Medical Services,434945.0,62744.0,90.0
store_7,7,0,05/01/2000,,Food & Beverage Services,Fast Meal,American & Burgers,1614658.22,,432.0
store_8,8,0,01/02/2004,,Entertainment,Entertainment,Cinemas,,68489.0,5720.67
store_9,9,0,06/09/2010,31/03/2021,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,3682718.0,104476.0,0.0
store_10,10,0,28/10/2010,,Health & Beauty,Hair & Body,Hairdressers,3586901.0,,122.0
store_11,11,0,01/06/2010,31/07/2022,Bags & Footwear & Accessories,Footwear,Family footwear,694915.35,,0.0
store_12,12,0,01/09/2009,09/01/2022,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,,56700.0,0.0
store_13,13,0,16/09/2010,31/07/2022,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1636983.0,,0.0
store_14,14,0,01/09/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,133530.0,71106.0,612.0
store_15,15,0,01/02/2008,17/03/2022,Bags & Footwear & Accessories,Footwear,Sport shoes,1537633.0,2195366.0,0.0
store_16,16,0,15/10/2010,19/12/2021,Food & Beverage Services,Sweet moments,Juices,963220.0,239820.0,0.0
store_17,17,0,28/10/2010,09/01/2022,Culture & Media & Technology,Computer Products & Electronics games,"Video games, softwares",5364638.0,80353.0,0.0
store_18,18,0,01/06/2000,31/03/2024,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,839225.0,,0.0
store_19,19,0,01/02/2009,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,750329.0,,278.0
store_20,20,0,01/04/2010,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,65581390.0,437851.0,36.0
store_21,21,0,01/07/1996,,Fashion apparel,Family Fashion,Family Fashion,23197438.0,105524.0,2555.0
store_22,22,0,01/09/2004,,Health & Beauty,Hair & Body,Hairdressers,581103.0,161965.0,118.0
store_23,23,0,28/10/2010,09/02/2021,Fashion apparel,Lingerie & Underwear,Women underwear,24240667.0,,0.0
store_24,24,0,28/10/2010,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,119230.0,673459.0,242.91
store_25,25,0,01/09/2000,15/02/2024,Fashion apparel,Women's Fashion,Women's Fashion,364441.0,44440.0,0.0
store_26,26,0,01/09/2000,06/03/2022,Fashion apparel,Matern./Childr. Fash.,Children fashion,15844684.0,110695.0,0.0
store_27,27,0,23/10/1986,,Fashion apparel,Family Fashion,Family Fashion,1132286.07,1599329.0,3387.0
store_28,28,0,01/11/1999,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,,302442.0,266.0
