store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,mall_name,mall_country,total_mall_area,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m,total_occupancy_cost,cost_to_sales_ratio,cost_to_area_ratio
store_0,0,0,01/01/1999,31/08/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,8058961.0,52824.0,243.0,Westfield Donau Zentrum,Austria,108440.8,0.0,16197.0,10101.0,0.0,0.0,0.0,0.0,79122.0,0.0098178909167075,325.60493827160496
store_1,1,0,28/10/2010,,Services,Clothing-related services,Clothes repairs,291179.0,13728.954545454546,89.0,Westfield Donau Zentrum,Austria,108440.8,0.0,1801.0,9007.0,0.0,0.0,424.0,0.0,24960.954545454544,0.08572374568720459,280.46016343207356
store_2,2,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,21159.5,184498.0,115.0,Westfield Donau Zentrum,Austria,108440.8,0.0,29733.0,0.0,0.0,12361.0,0.0,42319.0,268911.0,12.708759658782107,2338.3565217391306
store_3,3,0,28/10/2010,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",7282.0,396868.0,81.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,3580.0,0.0,0.0,0.0,0.0,400448.0,54.991485855534194,4943.802469135802
store_4,4,0,28/10/2010,,Services,Photo services,Photo Development,5536831.0,501842.0,59.0,Westfield Donau Zentrum,Austria,108440.8,0.0,338444.0,1309.0,1639.0,414791.0,0.0,0.0,1258025.0,0.22721029411950627,21322.457627118645
store_5,5,0,23/10/1990,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,340042.0,78000.0,293.0,Westfield Donau Zentrum,Austria,108440.8,0.0,20701.0,0.0,0.0,0.0,0.0,335361.0,434062.0,1.2764952564683185,1481.4402730375427
store_6,6,0,23/10/1990,,Services,Imaterial services,Medical Services,434945.0,62744.0,90.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,1263.0,0.0,0.0,0.0,0.0,64007.0,0.14716113531595948,711.1888888888889
store_7,7,0,05/01/2000,,Food & Beverage Services,Fast Meal,American & Burgers,1614658.22,7152.0,432.0,Westfield Donau Zentrum,Austria,108440.8,0.0,45973.0,0.0,0.0,0.0,0.0,0.0,53125.0,0.03290169977891668,122.97453703703704
store_8,8,0,01/02/2004,,Entertainment,Entertainment,Cinemas,70055.0,68489.0,5720.67,Westfield Donau Zentrum,Austria,108440.8,0.0,27250.0,0.0,0.0,8955.0,0.0,70055.0,174749.0,2.4944543572907003,30.546946424107666
store_9,9,0,06/09/2010,31/03/2021,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,3682718.0,104476.0,242.005,Westfield Donau Zentrum,Austria,108440.8,0.0,20993.0,0.0,4379.0,79007.0,0.0,1429.0,210284.0,0.057100217828245335,868.9241957810789
store_10,10,0,28/10/2010,,Health & Beauty,Hair & Body,Hairdressers,3586901.0,223.66666666666666,122.0,Westfield Donau Zentrum,Austria,108440.8,0.0,20699.0,0.0,0.0,0.0,0.0,0.0,20922.666666666668,0.005833076147534227,171.49726775956285
